gene,pathway
NRAS,path:ptr05230
NRAS,path:ptr05231
NRAS,path:ptr05235
NRAS,path:ptr05417
PIK3CA,path:ptr00562
PIK3CA,path:ptr01100
PIK3CA,path:ptr01521
PIK3CA,path:ptr01522
PIK3CA,path:ptr01524
PIK3CA,path:ptr04012
PIK3CA,path:ptr04014
PIK3CA,path:ptr04015
PIK3CA,path:ptr04024
PIK3CA,path:ptr04062
PIK3CA,path:ptr04066
PIK3CA,path:ptr04068
PIK3CA,path:ptr04070
PIK3CA,path:ptr04071
PIK3CA,path:ptr04072
PIK3CA,path:ptr04081
PIK3CA,path:ptr04140
PIK3CA,path:ptr04145
PIK3CA,path:ptr04150
PIK3CA,path:ptr04151
PIK3CA,path:ptr04152
PIK3CA,path:ptr04210
PIK3CA,path:ptr04211
PIK3CA,path:ptr04213
PIK3CA,path:ptr04218
PIK3CA,path:ptr04360
PIK3CA,path:ptr04370
PIK3CA,path:ptr04380
PIK3CA,path:ptr04510
PIK3CA,path:ptr04517
PIK3CA,path:ptr04518
PIK3CA,path:ptr04550
PIK3CA,path:ptr04611
PIK3CA,path:ptr04613
PIK3CA,path:ptr04620
PIK3CA,path:ptr04625
PIK3CA,path:ptr04630
PIK3CA,path:ptr04650
PIK3CA,path:ptr04660
PIK3CA,path:ptr04662
PIK3CA,path:ptr04664
PIK3CA,path:ptr04666
PIK3CA,path:ptr04668
PIK3CA,path:ptr04670
PIK3CA,path:ptr04722
PIK3CA,path:ptr04725
PIK3CA,path:ptr04750
PIK3CA,path:ptr04810
PIK3CA,path:ptr04910
PIK3CA,path:ptr04914
PIK3CA,path:ptr04915
PIK3CA,path:ptr04917
PIK3CA,path:ptr04919
PIK3CA,path:ptr04923
PIK3CA,path:ptr04926
PIK3CA,path:ptr04929
PIK3CA,path:ptr04930
PIK3CA,path:ptr04931
PIK3CA,path:ptr04932
PIK3CA,path:ptr04933
PIK3CA,path:ptr04935
PIK3CA,path:ptr04960
PIK3CA,path:ptr04973
PIK3CA,path:ptr05010
PIK3CA,path:ptr05017
PIK3CA,path:ptr05020
PIK3CA,path:ptr05100
PIK3CA,path:ptr05132
PIK3CA,path:ptr05135
PIK3CA,path:ptr05142
PIK3CA,path:ptr05146
PIK3CA,path:ptr05160
PIK3CA,path:ptr05161
PIK3CA,path:ptr05162
PIK3CA,path:ptr05163
PIK3CA,path:ptr05164
PIK3CA,path:ptr05165
PIK3CA,path:ptr05166
PIK3CA,path:ptr05167
PIK3CA,path:ptr05168
PIK3CA,path:ptr05169
PIK3CA,path:ptr05170
PIK3CA,path:ptr05171
PIK3CA,path:ptr05200
PIK3CA,path:ptr05203
PIK3CA,path:ptr05205
PIK3CA,path:ptr05206
PIK3CA,path:ptr05207
PIK3CA,path:ptr05208
PIK3CA,path:ptr05210
PIK3CA,path:ptr05211
PIK3CA,path:ptr05212
PIK3CA,path:ptr05213
PIK3CA,path:ptr05214
PIK3CA,path:ptr05215
PIK3CA,path:ptr05218
PIK3CA,path:ptr05220
PIK3CA,path:ptr05221
PIK3CA,path:ptr05222
PIK3CA,path:ptr05223
PIK3CA,path:ptr05224
PIK3CA,path:ptr05225
PIK3CA,path:ptr05226
PIK3CA,path:ptr05230
PIK3CA,path:ptr05231
PIK3CA,path:ptr05235
PIK3CA,path:ptr05415
PIK3CA,path:ptr05417
PIK3CA,path:ptr05418
RAF1,path:ptr01521
RAF1,path:ptr01522
RAF1,path:ptr04010
RAF1,path:ptr04012
RAF1,path:ptr04014
RAF1,path:ptr04015
RAF1,path:ptr04022
RAF1,path:ptr04024
RAF1,path:ptr04062
RAF1,path:ptr04068
RAF1,path:ptr04071
RAF1,path:ptr04072
RAF1,path:ptr04140
RAF1,path:ptr04150
RAF1,path:ptr04151
RAF1,path:ptr04210
RAF1,path:ptr04218
RAF1,path:ptr04270
RAF1,path:ptr04360
RAF1,path:ptr04370
RAF1,path:ptr04371
RAF1,path:ptr04510
RAF1,path:ptr04519
RAF1,path:ptr04540
RAF1,path:ptr04550
RAF1,path:ptr04613
RAF1,path:ptr04625
RAF1,path:ptr04630
RAF1,path:ptr04650
RAF1,path:ptr04660
RAF1,path:ptr04662
RAF1,path:ptr04664
RAF1,path:ptr04666
RAF1,path:ptr04720
RAF1,path:ptr04722
RAF1,path:ptr04726
RAF1,path:ptr04730
RAF1,path:ptr04810
RAF1,path:ptr04910
RAF1,path:ptr04912
RAF1,path:ptr04914
RAF1,path:ptr04915
